fold,acc,auroc,auprc,pos_rate
1,0.6963711529627928,0.7722251346529463,0.7734402828867191,0.5213596692696371
2,0.7075757575757575,0.7874270572892108,0.7942724518178954,0.521969696969697
3,0.6884113584036838,0.7573346605463903,0.7230687362678772,0.4827321565617805
4,0.6759530791788856,0.7530157854828703,0.7621022563680033,0.5219941348973607
5,0.7395348837209302,0.787308661165589,0.8133168040142496,0.5686046511627907
6,0.7016515716568993,0.7707839484301602,0.7866986279574799,0.54075652637187
7,0.6984126984126984,0.7802404110751632,0.7610942951751473,0.4909297052154195
8,0.7103077674645824,0.7555735816453875,0.7458537443888512,0.537371763556424
9,0.7123966942148761,0.780474574042263,0.7764097683515179,0.5264462809917355
10,0.7347949080622348,0.8241525892130359,0.7945871790953631,0.46605374823196605
11,0.6700942587832048,0.7380841876450372,0.7249060025396613,0.5055698371893744
12,0.7025316455696202,0.7758793237033342,0.770868010333198,0.510548523206751
enformer,0.6741915802318487,0.7195972877628626,0.7483463000224292,0.5790115924344112
